order_id,total_value
4529,38.25
4517,12.75
4477,66.25
4397,42.75
4390,33.5
4374,25.5
4300,49.75
4297,58.25
4294,33
4284,33.5
4219,29.25
4186,237.15
4131,106.25
4125,12.75
4076,27.5
4014,219.25
4009,29.5
4007,12.75
3997,33.5
3965,12.75
3952,12.75
3914,66.75
3887,145.95
3867,49.5
3829,12.75
3828,192.5
3793,59.25
3760,12.75
3680,12.75
3654,216.25
3628,33
3625,33
3615,42
3589,153
3583,221.45
3512,62.75
3508,50.25
3333,12.75
3279,33.5
3234,165.65
3082,142
3047,61.75
3024,12.75
3019,12.75
2994,33.25
2981,12.75
2961,194.25
2921,75.65
2895,192.2
2867,29.5
2756,33.5
2716,50
2690,23.75
2648,37.5
2588,74.5
2555,36.4
2533,12.75
2492,12.75
2413,12.75
2293,33.5
2243,33.5
2112,12.75
2078,24.75
2064,61.75
2036,51.75
2033,62
2017,33.25
2007,33
1970,12.75
1924,41.25
1739,33.5
1703,29.25
1457,179.9
1437,12.75
1405,45.75
1371,12.75
1368,29.5
1362,29.25
1328,12.75
1301,71
1274,238.7
1259,12.75
1244,67.65
1086,33
1047,58.4
1020,66.75
978,206.55
961,33.25
953,41.5
911,24.75
835,66.75
709,12.75
702,25
660,29.25
651,41.5
578,86.25
569,41.5
555,23.25
522,212.9
403,45.75
388,57.5
387,102.5
208,78.75
194,12.75
124,65.75
102,25.25
6,24.75
4505,45.2
4500,33.5
4492,29.25
4484,37.5
4480,16.75
4455,53.25
4447,58.75
4440,33.25
4438,46.7
4396,40.25
4357,59.5
4356,70
4351,62.75
4305,218.75
4278,37.5
4261,60
4242,16.75
4105,65.25
4082,27.75
4043,16.75
4037,65.95
4015,105
4013,35.25
3996,33.25
3992,56.5
3987,74.75
3972,29.25
3967,40.4
3934,29.25
3931,54.25
3903,34.7
3892,58.25
3843,32.75
3838,16.75
3808,16.75
3747,33.5
3745,33.5
3733,78.25
3713,64
3688,27.75
3661,66
3586,16.75
3500,45.25
3490,50.25
3482,45.5
3456,37.5
3455,41.25
3450,49.75
3363,200.5
3355,170
3296,44.75
3287,31.5
3285,16.75
3212,37
3179,75.25
3169,51.25
3145,51.75
3132,47.45
3108,69.25
3103,16.75
3031,42.25
3015,16.75
3001,70.25
2971,16.75
2969,16.75
2939,29.25
2933,66.25
2885,37.25
2883,53.75
2830,16.75
2802,30
2772,63.5
2722,46.75
2718,74
2665,16.75
2586,28.75
2552,16.75
2548,112.9
2547,213.15
2527,42
2488,74.75
2479,102.25
2462,37.5
2382,61.5
2376,59.5
2375,49.25
2364,161.5
2348,56.9
2346,74.25
2323,16.75
2317,60.75
2309,171.7
2265,59.5
2260,64.9
2254,172.15
2232,56
2222,53.25
2151,33.25
2126,238
2111,55.25
2095,62.25
2049,53.75
2016,45.5
2000,223.7
1989,28.75
1986,77.75
1947,37.5
1923,32.75
1920,29.25
1910,16.75
1908,16.75
1905,45.5
1901,34.7
1865,79
1837,73.5
1819,45.25
1795,202.95
1782,32.75
1754,67
1744,53.5
1738,60.5
1721,37.5
1709,58.75
1682,32
1655,54
1644,58
1571,16.75
1535,71.7
1476,16.75
1468,37.5
1450,71.25
1393,29.5
1378,34.7
1375,49.5
1353,32.75
1347,48
1290,69
1266,33.5
1265,183.25
1216,16.75
1214,215.45
1189,16.75
1182,79.65
1170,16.75
1123,27.25
1070,32
1065,74.25
1059,68.75
1056,50
1054,26.5
1034,133.75
1002,33.5
993,16.75
942,37.5
920,32.75
915,124.25
905,49.5
904,27.75
823,54
819,29
801,226.75
755,31.5
737,33.5
717,37.5
707,58.25
665,28.75
657,32.75
645,28.75
607,54
469,29
452,45
437,16.75
399,68.25
362,37
341,26.5
294,58.25
232,37.5
227,32.75
225,50.25
216,51.75
144,238.45
121,75.7
104,70.5
92,152.25
77,30
62,33.25
61,37.5
36,32.75
24,57.75
4507,57.5
4496,74.5
4474,37.25
4422,201
4384,37.25
4368,20.75
4332,20.75
4266,45.5
4257,54.25
4214,20.75
4211,44.4
4195,73.45
4191,20.75
4189,112.7
4181,20.75
4170,48.75
4108,72.25
4079,20.75
4057,47.25
4051,66
4000,82.5
3993,37.5
3974,74.5
3942,20.75
3928,56.4
3913,78.25
3911,65.75
3880,60.75
3869,74.5
3868,20.75
3842,41
3756,64
3755,20.75
3748,53.5
3729,104.5
3710,191
3703,60.65
3702,136.5
3691,73.75
3666,41.5
3665,62.25
3617,61.75
3609,33.5
3608,73.5
3556,41.25
3534,41.5
3505,45.25
3489,20.75
3473,230.25
3460,52.5
3444,74.75
3412,85.75
3403,71.95
3392,76.9
3310,49.5
3263,20.75
3261,68.25
3250,63.25
3236,77.65
3187,238
3172,32.75
3138,136.5
3135,20.75
3120,33.25
3097,60.9
3095,146.4
3074,41.5
3041,74.75
3037,34
2989,53
2937,20.75
2887,41.5
2843,74.5
2834,20.75
2816,32.75
2774,75.75
2736,57.75
2725,226.25
2720,20.75
2695,33.5
2688,20.75
2678,20.75
2675,254.5
2640,20.75
2637,20.75
2617,20.75
2612,237.5
2609,64.25
2606,37.5
2604,70.75
2603,20.75
2568,41
2544,54
2442,76.15
2409,77.25
2394,50
2387,76
2341,58.25
2253,20.75
2217,49.5
2205,41.5
2203,69.5
2183,70.75
2161,33.25
2154,41
2142,41.5
2103,78.5
2090,70
2087,38.7
2076,33.5
2073,158.75
2042,61.75
1995,72
1949,20.75
1928,20.75
1916,36.75
1889,41.5
1876,67.45
1781,41
1750,36.75
