pizza_type_id,size1,price1,size2,price2,price_difference
bbq_ckn,L,20.75,S,12.75,-8
bbq_ckn,M,16.75,S,12.75,-4
bbq_ckn,L,20.75,M,16.75,-4
big_meat,L,20.5,S,12,-8.5
big_meat,M,16,S,12,-4
big_meat,L,20.5,M,16,-4.5
calabrese,L,20.25,M,16.25,-4
calabrese,L,20.25,S,12.25,-8
calabrese,M,16.25,S,12.25,-4
cali_ckn,L,20.75,S,12.75,-8
cali_ckn,M,16.75,S,12.75,-4
cali_ckn,L,20.75,M,16.75,-4
ckn_alfredo,L,20.75,S,12.75,-8
ckn_alfredo,M,16.75,S,12.75,-4
ckn_alfredo,L,20.75,M,16.75,-4
ckn_pesto,L,20.75,S,12.75,-8
ckn_pesto,M,16.75,S,12.75,-4
ckn_pesto,L,20.75,M,16.75,-4
classic_dlx,L,20.5,M,16,-4.5
classic_dlx,L,20.5,S,12,-8.5
classic_dlx,M,16,S,12,-4
five_cheese,L,18.5,M,15.5,-3
five_cheese,M,15.5,S,12.5,-3
five_cheese,L,18.5,S,12.5,-6
four_cheese,L,17.95,S,11.75,-6.199999999999999
four_cheese,L,17.95,M,14.75,-3.1999999999999993
four_cheese,M,14.75,S,11.75,-3
green_garden,L,20.25,M,16,-4.25
green_garden,L,20.25,S,12,-8.25
green_garden,M,16,S,12,-4
hawaiian,L,16.5,S,10.5,-6
hawaiian,L,16.5,M,13.25,-3.25
hawaiian,M,13.25,S,10.5,-2.75
ital_cpcllo,L,20.5,S,12,-8.5
ital_cpcllo,M,16,S,12,-4
ital_cpcllo,L,20.5,M,16,-4.5
ital_supr,M,16.5,S,12.5,-4
ital_supr,L,20.75,S,12.5,-8.25
ital_supr,L,20.75,M,16.5,-4.25
ital_veggie,L,21,M,16.75,-4.25
ital_veggie,M,16.75,S,12.75,-4
ital_veggie,L,21,S,12.75,-8.25
mediterraneo,L,20.25,S,12,-8.25
mediterraneo,M,16,S,12,-4
mediterraneo,L,20.25,M,16,-4.25
mexicana,L,20.25,S,12,-8.25
mexicana,M,16,S,12,-4
mexicana,L,20.25,M,16,-4.25
napolitana,L,20.5,S,12,-8.5
napolitana,L,20.5,M,16,-4.5
napolitana,M,16,S,12,-4
pep_msh_pep,L,17.5,S,11,-6.5
pep_msh_pep,M,14.5,S,11,-3.5
pep_msh_pep,L,17.5,M,14.5,-3
pepperoni,L,15.25,M,12.5,-2.75
pepperoni,L,15.25,S,9.75,-5.5
pepperoni,M,12.5,S,9.75,-2.75
peppr_salami,L,20.75,M,16.5,-4.25
peppr_salami,L,20.75,S,12.5,-8.25
peppr_salami,M,16.5,S,12.5,-4
prsc_argla,L,20.75,S,12.5,-8.25
prsc_argla,M,16.5,S,12.5,-4
prsc_argla,L,20.75,M,16.5,-4.25
sicilian,L,20.25,S,12.25,-8
sicilian,M,16.25,S,12.25,-4
sicilian,L,20.25,M,16.25,-4
soppressata,L,20.75,S,12.5,-8.25
soppressata,M,16.5,S,12.5,-4
soppressata,L,20.75,M,16.5,-4.25
southw_ckn,L,20.75,M,16.75,-4
southw_ckn,L,20.75,S,12.75,-8
southw_ckn,M,16.75,S,12.75,-4
spicy_ital,L,20.75,S,12.5,-8.25
spicy_ital,M,16.5,S,12.5,-4
spicy_ital,L,20.75,M,16.5,-4.25
spin_pesto,L,20.75,M,16.5,-4.25
spin_pesto,L,20.75,S,12.5,-8.25
spin_pesto,M,16.5,S,12.5,-4
spinach_fet,L,20.25,S,12,-8.25
spinach_fet,M,16,S,12,-4
spinach_fet,L,20.25,M,16,-4.25
spinach_supr,M,16.5,S,12.5,-4
spinach_supr,L,20.75,S,12.5,-8.25
spinach_supr,L,20.75,M,16.5,-4.25
thai_ckn,L,20.75,M,16.75,-4
thai_ckn,M,16.75,S,12.75,-4
thai_ckn,L,20.75,S,12.75,-8
the_greek,L,20.5,S,12,-8.5
the_greek,XL,25.5,XXL,35.95,10.450000000000003
the_greek,L,20.5,XXL,35.95,15.450000000000003
the_greek,S,12,XXL,35.95,23.950000000000003
the_greek,M,16,XXL,35.95,19.950000000000003
the_greek,S,12,XL,25.5,13.5
the_greek,M,16,XL,25.5,9.5
the_greek,L,20.5,XL,25.5,5
the_greek,L,20.5,M,16,-4.5
the_greek,M,16,S,12,-4
veggie_veg,L,20.25,S,12,-8.25
veggie_veg,M,16,S,12,-4
veggie_veg,L,20.25,M,16,-4.25
