pizza_id,pizza_type_id,size,price
bbq_ckn_m,bbq_ckn,M,16.75
cali_ckn_m,cali_ckn,M,16.75
ckn_alfredo_m,ckn_alfredo,M,16.75
ckn_pesto_m,ckn_pesto,M,16.75
southw_ckn_m,southw_ckn,M,16.75
thai_ckn_m,thai_ckn,M,16.75
big_meat_m,big_meat,M,16
classic_dlx_m,classic_dlx,M,16
hawaiian_l,hawaiian,L,16.5
ital_cpcllo_m,ital_cpcllo,M,16
napolitana_m,napolitana,M,16
pepperoni_l,pepperoni,L,15.25
the_greek_m,the_greek,M,16
calabrese_m,calabrese,M,16.25
ital_supr_m,ital_supr,M,16.5
peppr_salami_m,peppr_salami,M,16.5
prsc_argla_m,prsc_argla,M,16.5
sicilian_m,sicilian,M,16.25
soppressata_m,soppressata,M,16.5
spicy_ital_m,spicy_ital,M,16.5
spinach_supr_m,spinach_supr,M,16.5
five_cheese_m,five_cheese,M,15.5
green_garden_m,green_garden,M,16
ital_veggie_m,ital_veggie,M,16.75
mediterraneo_m,mediterraneo,M,16
mexicana_m,mexicana,M,16
spin_pesto_m,spin_pesto,M,16.5
spinach_fet_m,spinach_fet,M,16
veggie_veg_m,veggie_veg,M,16
